,Susceptible,Exposed,Carrier,Infected,Hospitalised,ICU,Recovered,Dead
0,59994,0,0,6,0,0,0,0
1,59988.33668558639,5.6817865623217045,0.0,5.060235677387327,0.07216700798522835,0.0,0.8675973146274446,0.0
2,59984.36206827167,7.905735364917075,1.7730404978670302,4.382982214863903,0.13436167501284738,0.00706735020795164,1.4681720295232878,0.0
3,59978.21948543299,11.890286324432175,3.1538670018943287,4.502936970460123,0.1789111490609191,0.012798508908349994,2.08729085788179,0.00039515293556225236
4,59969.83668692095,16.312166082523166,5.761396241701926,5.092946386947267,0.2050346741197369,0.025130832837368333,2.8246905920695884,0.0008911449277949576
5,59958.50799906561,22.230340012205613,8.994378213900273,6.206385594451717,0.24006360565575735,0.03664994336735878,3.8551212179727212,0.0021282191531669607
6,59939.64243835717,34.059105065786596,11.93460527464524,9.070662264275152,0.2789328512584338,0.044574023856385536,5.056358012533654,0.004079102810920272
7,59915.77329215952,46.93978857893914,18.14633488929299,11.846265733715075,0.3346414287684592,0.057242595463205176,7.004856679947261,0.005249908845943151
8,59881.49831425991,68.54682617396871,20.111894667759323,20.129788809711822,0.399036838940928,0.06981249852191485,9.365410126462137,0.007689845233047096
9,59838.75350669032,92.48830878238476,27.707805532453243,28.101302038981046,0.5156185335448158,0.08597184431237745,12.490874707232425,0.011252250893271972
10,59784.85350155716,119.47459546754907,44.37565685776335,32.91545545815866,0.650128895154801,0.10879650701522436,17.792734142516135,0.015592239924085802
11,59700.71846703525,170.14093804311491,58.55445967430124,45.140610575866894,0.8400893391486582,0.12901310190307197,24.68833412839057,0.021137127035534265
12,59592.05273561492,219.61100256480228,95.42166624165776,59.24955705817765,0.9879440546389547,0.16638935407707842,32.77954432931553,0.026245150050051937
13,59430.176933330804,314.334507067938,115.44167921229463,92.35213149545193,1.2454163070496875,0.20255803448680812,46.58345792299164,0.03175231039218416
14,59286.00971566503,377.2387210334459,151.5373877303625,120.20290605678335,1.6928076770081792,0.24914320633693798,63.46243319237847,0.04035663487348016
15,59059.204309662266,481.46869432137447,217.721183457554,153.75929101419868,2.4803909923275778,0.3060876679145053,85.54192986895579,0.046737763244964835
16,58786.84005228686,585.8889599272618,294.8869159948944,210.1646734608659,3.2046363136655214,0.4140631273669463,119.18297100922435,0.05844348815357296
17,58359.90862887292,850.3243424815319,260.0334475889386,363.24449218498756,4.250523166632411,0.5206004455754976,162.4587475378428,0.07581652499812423
18,57980.23231367859,969.3783965218813,426.3917011969629,392.611332774371,6.429904754569177,0.6465364171621112,225.21362854548207,0.09654267299876901
19,57437.78767103906,1179.47509277548,600.3999964241492,480.2613865320334,8.476835154531793,0.8622575127373795,293.8658905828945,0.12261094617335493
20,56684.45008259112,1574.596133186034,717.0735196996517,636.5207300076038,10.890337003520651,1.149345937272269,376.71640293482164,0.14313784565608806
21,55828.88213966997,1888.5777620786778,940.8850185318472,823.7860399776976,14.338431864055616,1.648810369974646,503.68229780849356,0.1724282576776942
22,54728.84318894413,2465.9621447729387,1092.5184463211576,1052.365833863836,17.84761191815194,1.9884710022937044,642.7268221944834,0.2192690431954632
23,53521.480216220574,2998.111976474213,1347.0330969218717,1281.99186249528,21.75481748753675,2.539111596764199,829.9748701624936,0.2603926530150827
24,52233.551106232015,3429.643148997579,1621.5260710133834,1599.9014183486006,27.234107222132135,3.515700168003217,1088.044294315628,0.33503106944134337
25,50751.031626235854,3901.523185133134,1961.6379562341494,1992.9611910002889,33.403814980707395,4.649995687617904,1359.0086907644652,0.3998690511229842
26,49113.940952323646,4289.738402975111,2251.964994718572,2576.5760283739214,46.880962012765806,6.01359964363625,1720.0665605173363,0.5228461996054286
27,47374.30015259403,4859.846575039826,2208.50421594819,3353.877001149507,61.27502356547659,7.204554150700419,2141.090754902382,0.74256945517436
28,45531.39684877801,5201.281546951348,2651.6459078453445,3928.040149263903,75.62971858893158,9.882775645112119,2609.243667967766,0.8844085283861637
29,43581.85567082348,5750.8413451082615,2954.3630123534435,4387.968655135264,96.78188243468036,11.782473526396117,3224.6714114322176,1.1495856328729817
30,41386.950784280474,6259.525201291238,2897.3150311534437,5469.922301617588,121.31544459270285,15.27310696992267,3859.023431780039,1.4874993150767597
31,39365.161206607576,6588.982659945491,3449.3980857264155,5719.136332064659,135.8372460057166,19.51724853292099,4732.186688635413,1.8496277772016951
32,37001.59246511744,6843.690946168219,3965.406256431466,6513.895758392038,166.38117596499316,23.18902218923993,5497.06240500155,2.4059305749552102
33,34406.467413843726,7160.831155909681,3801.2757182141672,7959.306439917482,200.09064256396306,27.59252455965213,6456.6936713427485,3.0693723741873
34,31609.1632113441,7578.672539986797,4443.002712439886,8487.22315233576,231.04844636129206,33.160208837292004,7630.557672402638,3.6502994951315073
35,28717.313373270732,8447.89004774166,3902.927319175584,9826.115942843362,276.1616591421738,42.34252038475255,8800.910449414241,4.376277917109007
36,26255.124267730436,8562.131851410973,3878.2481877009504,10823.485016624258,308.04107796498295,52.135891792947945,10135.278666690583,5.14159133002339
37,23705.08226654967,8820.80645053791,4686.876283226258,10500.536231577888,357.50064461674856,60.50801519563535,11883.207926149375,6.507400565957073
38,21588.399014524908,8288.852137206155,5279.102739783143,10931.674754167996,378.43876667493623,67.27846237340549,13480.759379423487,7.568707635182081
39,19441.79124568526,8083.654570316701,5260.944377730114,11756.85541112077,396.9337458777916,81.72981061633152,14992.223842404113,9.090212013275154
40,17219.803124615893,8227.513774811187,4970.027460761712,12325.39066358525,411.6072623506815,93.54856311093026,16764.88147281208,11.577176307097243
