,Susceptible,Exposed,Carrier,Infected,Hospitalised,ICU,Recovered,Dead
0,59994,0,0,6,0,0,0,0
1,59988.33668558639,5.6817865623217045,0.0,5.060235677387327,0.07216700798522835,0.0,0.8675973146274446,0.0
2,59984.36206827167,7.905735364917075,1.7730404978670302,4.382982214863903,0.13436167501284738,0.00706735020795164,1.4681720295232878,0.0
3,59978.21948543299,11.890286324432175,3.1538670018943287,4.502936970460123,0.1789111490609191,0.012798508908349994,2.08729085788179,0.00039515293556225236
4,59969.83668692095,16.312166082523166,5.761396241701926,5.092946386947267,0.2050346741197369,0.025130832837368333,2.8246905920695884,0.0008911449277949576
5,59958.50799906561,22.230340012205613,8.994378213900273,6.206385594451717,0.24006360565575735,0.03664994336735878,3.8551212179727212,0.0021282191531669607
6,59939.64243835717,34.059105065786596,11.93460527464524,9.070662264275152,0.2789328512584338,0.044574023856385536,5.056358012533654,0.004079102810920272
7,59915.77329215952,46.93978857893914,18.14633488929299,11.846265733715075,0.3346414287684592,0.057242595463205176,7.004856679947261,0.005249908845943151
8,59881.49831425991,68.54682617396871,20.111894667759323,20.129788809711822,0.399036838940928,0.06981249852191485,9.365410126462137,0.007689845233047096
9,59838.75350669032,92.48830878238476,27.707805532453243,28.101302038981046,0.5156185335448158,0.08597184431237745,12.490874707232425,0.011252250893271972
10,59784.85350155716,119.47459546754907,44.37565685776335,32.91545545815866,0.650128895154801,0.10879650701522436,17.792734142516135,0.015592239924085802
11,59700.71846703525,170.14093804311491,58.55445967430124,45.140610575866894,0.8400893391486582,0.12901310190307197,24.68833412839057,0.021137127035534265
12,59592.05273561492,219.61100256480228,95.42166624165776,59.24955705817765,0.9879440546389547,0.16638935407707842,32.77954432931553,0.026245150050051937
13,59430.176933330804,314.334507067938,115.44167921229463,92.35213149545193,1.2454163070496875,0.20255803448680812,46.58345792299164,0.03175231039218416
14,59399.916112991436,263.2672881922324,151.5373877303625,120.20290605678335,1.6928076770081792,0.24914320633693798,63.46243319237847,0.04035663487348016
15,59353.25213660737,221.46264475840061,153.58787794511386,181.99738194029152,2.5846960024742383,0.2949831661506704,87.1421944535773,0.0465208080231495
16,59294.18962040637,211.34208352310682,163.6993865407916,209.65277457357863,3.4441267788662255,0.3780636398216697,117.60609811604776,0.05628210281346973
17,59247.155430639235,184.12257077521213,148.03677917643915,261.90904335396414,4.589299274955002,0.5310004481784796,153.95604828133455,0.06826373209052326
18,59178.29706950662,194.02153547550265,147.54598424070954,280.91924341124894,5.521923426578522,0.6432063019572593,193.3295084203896,0.0899648983983304
19,59117.82146777332,187.43208799088504,148.779559350731,306.7412018781859,6.91729446205651,0.8348173487069432,231.73781004588136,0.10419683164393617
20,59067.174637316144,187.4131410698637,110.28400808998676,349.37799416015406,8.22215492347826,1.1215524617297992,276.64065286385534,0.13429479619542328
21,59006.65522836171,187.96961396838395,121.85571769503639,349.6925154691154,10.53878933192773,1.4990135316692204,321.9973070156877,0.16025030787539704
22,58952.108891883756,186.0494090633466,123.0585285079121,347.8801404304801,12.056553682884735,1.774235218033035,377.2370876221718,0.20358927281937592
23,58899.419574743486,178.99396705457474,130.53915365743373,352.2295475352247,12.79824033451308,2.150542255432343,423.9921949461706,0.24521515456622245
24,58847.785757594465,172.42979136160713,119.79542300731005,368.4445838302767,13.46484534316085,2.487180116515742,475.6509500892894,0.3099043387823939
25,58784.23942343432,190.56649319192036,120.28826530445306,358.08260357734855,13.79131061553215,2.7899551326992498,530.2441108542661,0.36627357085782036
26,58738.39231151642,192.54303263258424,121.32766564073466,347.80054485905026,14.291016806637328,3.2417048198338683,582.3478833712783,0.42427603486701443
27,58664.45157006266,221.78866566999776,122.42341149001352,340.9124215258853,14.890473296700572,3.7469030453611567,631.6362195909509,0.5187709998342085
28,58602.26421532837,230.2921063930303,128.82656610367812,338.70671606200824,14.897933481923276,4.0614541663975885,680.7003357156186,0.6191084303781766
29,58535.0975138132,234.9052360957243,136.4545002597746,353.91991861819184,15.176532998323742,4.195489482467358,719.8884673906871,0.7307770230380446
30,58473.29891430956,220.84981907538597,154.35845351388656,361.39642453098054,15.653928958197563,4.397728133926941,769.5783201405513,0.8348470189222881
31,58416.025188878244,217.12225005227796,129.23769390342844,404.31690955364684,16.591379998767763,4.755340595923204,811.4015476948321,0.9181250042862649
32,58373.55018578953,196.21216043246997,125.33920414077217,414.5974632648238,18.16389628231774,5.157642211815054,866.3391547303264,1.0087288293501329
33,58323.173664700946,201.30955967270032,114.33242331059515,406.25630897962594,18.333687865268665,5.418564784614106,930.4027317823379,1.1414945853198397
34,58255.06999118308,224.76715212859693,120.26913044477459,394.39756639362724,18.042331990015448,5.689284715479279,980.8691351080749,1.263843717754105
35,58205.8591320509,200.8376381787341,142.02886214790348,391.21236575173515,18.230673204492224,5.946387634180296,1034.8896568142143,1.3637198992538302
36,58148.143107389275,212.46784257990362,132.80341217621233,397.5129577906603,18.437611886456402,6.175883098545346,1083.3079527194216,1.5196680409272787
37,58085.872708681585,226.9734542206018,135.50826320386346,390.84293550150306,18.421405236900334,6.231397988006887,1134.816060083808,1.702210765130262
38,58018.94606395311,236.49913093973367,153.41755360370067,374.41498745315096,18.729102144002628,6.254905025009228,1190.227979227401,1.8787133352953556
39,57954.13020211943,247.7007402443767,153.78492947943693,374.0746436480415,18.178303786596928,6.834463951774249,1243.6310315525905,2.034120899162389
40,57908.92251362152,240.7147901416662,157.27557878691076,376.050192701194,18.638342558201263,7.083190036314889,1289.4365112546327,2.247316580970612
